iter	Passed	Remaining
0	125	125752
1	127	63568
2	128	42679
3	129	32291
4	131	26098
5	132	21936
6	133	18934
7	135	16863
8	138	15213
9	138	13735
10	139	12520
11	140	11527
12	140	10681
13	141	9978
14	142	9347
15	142	8789
16	143	8306
17	144	7865
18	144	7473
19	145	7117
20	145	6795
21	146	6503
22	147	6277
23	150	6110
24	151	5923
25	152	5714
26	153	5516
27	153	5333
28	154	5159
29	154	5000
30	155	4869
31	156	4730
32	157	4606
33	157	4483
34	158	4369
35	159	4261
36	159	4158
37	160	4055
38	160	3961
39	161	3880
40	162	3798
41	163	3721
42	164	3660
43	166	3610
44	167	3550
45	168	3485
46	168	3419
47	169	3355
48	169	3293
49	170	3235
50	170	3181
51	171	3130
52	172	3079
53	172	3027
54	173	2979
55	173	2930
56	174	2889
57	175	2848
58	175	2806
59	176	2763
60	176	2724
61	177	2684
62	178	2653
63	179	2618
64	179	2582
65	182	2588
66	183	2556
67	184	2524
68	184	2495
69	185	2464
70	185	2433
71	186	2410
72	187	2384
73	188	2358
74	189	2331
75	189	2303
76	190	2277
77	190	2251
78	191	2232
79	191	2207
80	192	2185
81	193	2171
82	194	2151
83	195	2133
84	196	2115
85	197	2103
86	198	2085
87	199	2067
88	200	2050
89	201	2032
90	201	2014
91	202	1995
92	202	1976
93	203	1959
94	203	1942
95	204	1925
96	204	1907
97	205	1890
98	206	1875
99	206	1859
100	207	1844
101	207	1830
102	208	1817
103	209	1809
104	210	1796
105	211	1783
106	211	1768
107	212	1755
108	213	1742
109	213	1728
110	214	1715
111	214	1704
112	215	1691
113	216	1680
114	216	1667
115	217	1655
116	217	1642
117	218	1630
118	218	1620
119	219	1610
120	220	1601
121	220	1589
122	221	1578
123	222	1568
124	222	1558
125	223	1547
126	223	1536
127	225	1534
128	226	1529
129	227	1519
130	227	1510
131	228	1502
132	229	1493
133	229	1484
134	230	1474
135	230	1465
136	231	1456
137	231	1448
138	232	1440
139	233	1433
140	233	1425
141	234	1414
142	234	1407
143	235	1399
144	235	1390
145	236	1382
146	236	1374
147	237	1366
148	237	1358
149	238	1351
150	239	1344
151	239	1336
152	240	1330
153	240	1323
154	241	1315
155	241	1308
156	242	1302
157	243	1295
158	243	1289
159	244	1284
160	245	1276
161	245	1270
162	246	1263
163	246	1258
164	247	1253
165	248	1247
166	248	1241
167	249	1236
168	250	1230
169	250	1224
170	251	1218
171	251	1212
172	252	1206
173	252	1200
174	253	1193
175	253	1187
176	254	1182
177	255	1178
178	255	1173
179	256	1168
180	257	1163
181	257	1157
182	258	1152
183	258	1146
184	258	1140
185	259	1135
186	260	1130
187	260	1126
188	261	1120
189	261	1115
190	262	1111
191	262	1106
192	263	1100
193	263	1095
194	264	1091
195	264	1086
196	265	1081
197	265	1076
198	266	1071
199	266	1066
200	267	1062
201	268	1058
202	268	1054
203	268	1049
204	269	1045
205	270	1041
206	272	1044
207	273	1041
208	274	1037
209	275	1035
210	275	1031
211	276	1026
212	276	1022
213	277	1018
214	277	1013
215	278	1009
216	278	1005
217	279	1001
218	280	998
219	280	994
220	280	990
221	281	986
222	281	982
223	282	978
224	282	974
225	283	970
226	283	966
227	284	963
228	285	960
229	285	956
230	286	953
231	287	951
232	287	947
233	288	944
234	289	941
235	289	937
236	290	934
237	290	930
238	291	928
239	291	924
240	292	920
241	292	917
242	293	913
243	293	910
244	294	906
245	294	903
246	295	900
247	295	896
248	296	893
249	296	889
250	297	886
251	297	883
252	298	879
253	298	876
254	299	873
255	299	870
256	300	867
257	301	867
258	302	864
259	303	862
260	303	859
261	304	856
262	304	853
263	305	851
264	305	848
265	306	846
266	307	843
267	307	840
268	308	837
269	309	835
270	309	833
271	310	832
272	311	830
273	312	827
274	312	824
275	313	821
276	313	819
277	314	816
278	314	813
279	315	810
280	315	808
281	316	806
282	317	804
283	317	801
284	318	798
285	318	796
286	319	794
287	320	792
288	321	791
289	322	789
290	323	787
291	323	784
292	324	781
293	324	779
294	325	777
295	325	774
296	326	771
297	326	769
298	327	766
299	327	764
300	328	762
301	328	759
302	329	757
303	329	754
304	330	752
305	330	749
306	331	748
307	332	748
308	333	746
309	334	744
310	334	741
311	335	739
312	335	737
313	336	735
314	336	732
315	337	730
316	338	728
317	338	726
318	339	724
319	339	722
320	340	720
321	340	717
322	341	715
323	341	713
324	342	711
325	342	708
326	343	706
327	343	704
328	344	702
329	344	700
330	345	697
331	345	695
332	346	693
333	347	691
334	347	690
335	348	688
336	349	687
337	350	685
338	350	683
339	351	681
340	351	679
341	351	677
342	352	674
343	352	672
344	353	670
345	353	669
346	354	667
347	355	665
348	355	663
349	356	661
350	356	659
351	357	658
352	358	656
353	358	654
354	359	653
355	359	651
356	360	649
357	360	647
358	361	645
359	362	643
360	362	642
361	363	640
362	364	638
363	364	637
364	365	635
365	366	634
366	366	632
367	367	630
368	367	628
369	368	626
370	368	625
371	369	623
372	369	621
373	370	619
374	371	618
375	371	616
376	372	614
377	372	613
378	373	611
379	373	609
380	374	608
381	375	606
382	375	605
383	376	603
384	376	601
385	377	600
386	378	599
387	379	598
388	380	596
389	380	595
390	381	594
391	382	592
392	382	590
393	383	589
394	383	587
395	384	586
396	385	584
397	385	583
398	386	582
399	387	580
400	387	579
401	388	577
402	388	576
403	389	574
404	390	573
405	390	571
406	391	569
407	391	568
408	393	568
409	394	566
410	394	565
411	395	563
412	395	562
413	396	560
414	396	559
415	397	557
416	397	555
417	398	554
418	398	552
419	399	551
420	399	549
421	400	548
422	401	547
423	401	545
424	402	544
425	402	542
426	403	541
427	403	539
428	404	538
429	405	537
430	406	536
431	406	534
432	407	533
433	408	532
